"species","latitude","longitude","date_obs","source"
"Libellula depressa",47.0634,7.60318,2025-06-10,"gbif"
"Libellula depressa",47.42224,7.93559,2025-06-23,"gbif"
"Libellula depressa",46.83615,6.68491,2025-06-11,"gbif"
"Libellula depressa",47.40998,9.19431,2025-06-11,"gbif"
"Libellula depressa",47.37829,7.33931,2025-06-11,"gbif"
"Libellula depressa",46.1636,7.14736,2025-06-16,"gbif"
"Libellula depressa",47.15335,7.60345,2025-06-14,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",46.97277,7.01153,2025-06-17,"gbif"
"Libellula depressa",46.29835,7.79555,2025-06-18,"gbif"
"Libellula depressa",47.15335,7.60345,2025-06-26,"gbif"
"Libellula depressa",47.19806,7.73556,2025-06-26,"gbif"
"Libellula depressa",47.42273,7.80307,2025-06-22,"gbif"
"Libellula depressa",46.83468,6.4883,2025-06-18,"gbif"
"Libellula depressa",46.43346,7.1459,2025-06-20,"gbif"
"Libellula depressa",47.15335,7.60345,2025-06-26,"gbif"
"Libellula depressa",47.41453,8.86313,2025-06-11,"gbif"
"Libellula depressa",47.37829,7.33931,2025-06-11,"gbif"
"Libellula depressa",46.92848,7.2745,2025-06-16,"gbif"
"Libellula depressa",47.15324,7.66938,2025-06-13,"gbif"
"Libellula depressa",46.78971,6.4891,2025-06-17,"gbif"
"Libellula depressa",46.88358,7.34024,2025-06-09,"gbif"
"Libellula depressa",46.68629,9.43228,2025-06-09,"gbif"
"Libellula depressa",47.37583,8.19999,2025-06-10,"gbif"
"Libellula depressa",46.52323,7.08025,2025-06-25,"gbif"
"Libellula depressa",46.79117,6.68554,2025-06-25,"gbif"
"Libellula depressa",47.01512,8.3264,2025-06-15,"gbif"
"Libellula depressa",46.65738,6.88339,2025-06-05,"gbif"
"Libellula depressa",46.65738,6.88339,2025-06-05,"gbif"
"Libellula depressa",47.05775,8.59037,2025-06-19,"gbif"
"Libellula depressa",47.37112,8.72955,2025-06-01,"gbif"
"Libellula depressa",46.79362,7.3404,2025-06-03,"gbif"
"Libellula depressa",47.28324,8.52914,2025-06-29,"gbif"
"Libellula depressa",46.83729,7.99574,2025-06-14,"gbif"
"Libellula depressa",47.42224,7.93559,2025-06-23,"gbif"
"Libellula depressa",46.24185,9.09179,2025-06-09,"gbif"
"Libellula depressa",46.29756,6.88707,2025-06-13,"gbif"
"Libellula depressa",46.9278,7.01189,2025-06-09,"gbif"
"Libellula depressa",46.15618,8.76552,2025-06-24,"gbif"
"Libellula depressa",47.46789,7.73706,2025-06-17,"gbif"
"Libellula depressa",46.24185,9.09179,2025-06-09,"gbif"
"Libellula depressa",47.23467,8.85834,2025-06-20,"gbif"
