"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","occurrence_id","t_mean_c","prec_mean_annual","elevation","slope_deg","aspect_deg","aspect_class","NDVI","temp_class","prec_class","distance_to_nearest_castor_m","distance_to_nearest_castor_km"
103,"Libellula depressa",46.56484,6.49305,"2022-06-16","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5253,12.1083333333333,97.0625,492,3.7859304137926,290.212447113472,"West",0.545466666666667,"(11.6,13.2]","(88.1,102]",0,0
103,"Libellula depressa",47.5090232647,8.0412418395,"2018-05-28","inat","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5283,10.5708333333334,86.5625,507,16.0769875675055,204.832572640755,"South",0.819677777777778,"(10.1,11.6]","(74.4,88.1]",2912.42792083687,2.91242792083687
103,"Libellula depressa",47.51187,8.00281,"2020-05-09","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5291,11.1083333333333,84.1666666666667,411,5.24632969288014,84.8572819243496,"East",0.786433333333334,"(10.1,11.6]","(74.4,88.1]",0,0
103,"Libellula depressa",47.55475,8.33541,"2021-07-03","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5305,10.6020833333334,88.4791666666667,463,2.52774825600713,262.261488018078,"West",0.641255555555555,"(10.1,11.6]","(88.1,102]",0,0
103,"Libellula depressa",47.465995669,7.692889204,"2025-06-09","inat","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5319,10.9645833333334,76.1666666666667,462,4.23637246429816,122.483376786217,"East",0.79355,"(10.1,11.6]","(74.4,88.1]",3336.88730917414,3.33688730917414
103,"Libellula depressa",46.52132,6.6893,"2020-04-14","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5345,11.2812500000001,117,674,9.64930012455542,199.268485063821,"South",0.706983333333333,"(10.1,11.6]","(115,129]",4121.5430861076,4.1215430861076
103,"Libellula depressa",47.200695,7.720792,"2020-06-21","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5402,10.8375,80.5,469,1.40728218495679,232.103969917865,"West",0.791694444444445,"(10.1,11.6]","(74.4,88.1]",481.174126763697,0.481174126763697
103,"Libellula depressa",47.33256,7.86861,"2024-06-13","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5416,10.63125,83.375,423,3.42735609170983,330.50382378105,"North",0.72295,"(10.1,11.6]","(74.4,88.1]",0,0
103,"Libellula depressa",46.92689,6.81494,"2023-08-13","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5438,11.3270833333333,91.1458333333333,462,2.97719356728009,146.640861620366,"South",0.506044444444444,"(10.1,11.6]","(88.1,102]",0,0
103,"Libellula depressa",47.46691,8.00233,"2022-07-17","gbif","Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605",5453,10.4666666666667,88.4375,517,4.73657355799943,232.623597341575,"West",0.631355555555556,"(10.1,11.6]","(88.1,102]",0,0
