"species","latitude","longitude","date_obs","source"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-11,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",47.28782,7.80215,2025-03-27,"gbif"
"Castor fiber",47.28801,7.73606,2025-03-11,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.36957,8.86193,2025-03-11,"gbif"
"Castor fiber",46.73834,8.97614,2025-03-29,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-03-20,"gbif"
"Castor fiber",47.33256,7.86861,2025-03-20,"gbif"
"Castor fiber",46.845353,7.173308,2025-04-21,"gbif"
"Castor fiber",46.845346,7.173295,2025-04-20,"gbif"
"Castor fiber",47.111019,8.331358,2025-04-28,"gbif"
"Castor fiber",47.28441,8.39697,2025-04-18,"gbif"
"Castor fiber",47.55239,8.60109,2025-04-15,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",47.5517,8.66751,2025-04-15,"gbif"
"Castor fiber",46.56742,6.88431,2025-04-05,"gbif"
"Castor fiber",46.29835,7.79555,2025-04-25,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-25,"gbif"
"Castor fiber",46.83615,6.68491,2025-04-03,"gbif"
"Castor fiber",46.29813,7.86044,2025-04-25,"gbif"
"Castor fiber",46.29813,7.86044,2025-04-25,"gbif"
"Castor fiber",46.92848,7.2745,2025-04-30,"gbif"
"Castor fiber",47.5517,8.66751,2025-04-15,"gbif"
"Castor fiber",47.46531,8.26759,2025-04-11,"gbif"
"Castor fiber",46.73125,9.43394,2025-04-04,"gbif"
"Castor fiber",47.28441,8.39697,2025-04-18,"gbif"
"Castor fiber",46.88358,7.34024,2025-04-19,"gbif"
"Castor fiber",47.37537,8.26619,2025-04-17,"gbif"
"Castor fiber",47.01775,7.01117,2025-04-29,"gbif"
"Castor fiber",46.68512,9.49762,2025-04-17,"gbif"
"Castor fiber",46.29813,7.86044,2025-04-25,"gbif"
"Castor fiber",47.19844,7.40564,2025-04-28,"gbif"
"Castor fiber",46.74662,8.12567,2025-04-15,"gbif"
"Castor fiber",47.1984,7.5376,2025-04-18,"gbif"
"Castor fiber",46.61082,6.62279,2025-04-09,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-07,"gbif"
"Castor fiber",46.83615,6.68491,2025-04-03,"gbif"
"Castor fiber",46.29813,7.86044,2025-04-25,"gbif"
"Castor fiber",47.54942,8.86675,2025-04-09,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-24,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-07,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",46.83615,6.68491,2025-04-03,"gbif"
"Castor fiber",46.29868,7.66577,2025-04-25,"gbif"
"Castor fiber",46.29868,7.66577,2025-04-25,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-25,"gbif"
"Castor fiber",46.29868,7.66577,2025-04-25,"gbif"
"Castor fiber",46.92848,7.2745,2025-04-30,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-07,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",47.28782,7.80215,2025-04-19,"gbif"
"Castor fiber",46.6558,6.62211,2025-04-09,"gbif"
"Castor fiber",46.29868,7.66577,2025-04-25,"gbif"
"Castor fiber",46.88339,7.20904,2025-04-21,"gbif"
"Castor fiber",46.29835,7.79555,2025-04-25,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-25,"gbif"
"Castor fiber",46.29813,7.86044,2025-04-25,"gbif"
"Castor fiber",47.19266,8.59328,2025-04-06,"gbif"
"Castor fiber",46.56821,7.07995,2025-04-12,"gbif"
"Castor fiber",46.29854,7.73066,2025-04-25,"gbif"
"Castor fiber",46.92848,7.2745,2025-04-30,"gbif"
"Castor fiber",46.38751,6.88615,2025-04-24,"gbif"
