"species","latitude","longitude","date_obs","source"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.1984,7.5376,2025-01-10,"gbif"
"Castor fiber",47.01816,7.1427,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.97334,7.20865,2025-01-20,"gbif"
"Castor fiber",47.3304,8.26549,2025-01-26,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",47.01831,7.20846,2025-01-20,"gbif"
"Castor fiber",46.978759,7.043696,2025-01-12,"gbif"
"Castor fiber",47.579582,8.883296,2025-02-04,"gbif"
"Castor fiber",46.299508,7.565678,2025-02-18,"gbif"
"Castor fiber",47.359036,8.103378,2025-02-15,"gbif"
"Castor fiber",47.576203,8.2379,2025-02-16,"gbif"
"Castor fiber",47.32616,8.72847,2025-02-15,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.04598,9.44566,2025-02-02,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29756,6.88707,2025-02-13,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",47.5581,7.6047,2025-02-08,"gbif"
"Castor fiber",46.77621,9.43561,2025-02-01,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.8835,7.27464,2025-02-12,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.8835,7.27464,2025-02-12,"gbif"
"Castor fiber",47.04481,9.51143,2025-02-23,"gbif"
"Castor fiber",46.8835,7.27464,2025-02-12,"gbif"
"Castor fiber",46.88339,7.20904,2025-02-12,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
"Castor fiber",46.29879,7.60087,2025-02-20,"gbif"
